OFF_FR,CIQUAL_FR,CIQUAL_INDEX_FR,OFF_EN,CIQUAL_EN,OFF_ID,CIQUAL_ID
Farine complète de blé dur,"Blé dur entier, cru",Blé dur entier cru,Durum whole wheat flour,"Durum wheat, whole, raw",en:durum-whole-wheat-flour,9060
Eau-de-vie,Eau de vie,Eau de vie,Eau de vie,Clear fruit brandy or eau-de-vie,en:eau-de-vie,1001
Edam,Edam,Edam,Edam,"Edam cheese, from cow's milk",en:edam,12729
Tourteau,"Crabe ou Tourteau, bouilli/cuit à l'eau",Crabe ou Tourteau,Edible crab,"Crab, boiled/cooked in water",en:edible-crab,10025
Œuf,"Oeuf, cru",Oeuf cru,Egg,"Egg, raw",en:egg,22000
Pâtes aux œufs,"Pâtes sèches, aux œufs, crues","Pâtes sèches, aux œufs, crues",Egg pastas,"Dried egg pasta, raw",en:egg-pastas,9821
Pâtes aux œufs,"Pâtes fraîches, aux œufs, crues","Pâtes fraîches, aux œufs, crues",Egg pastas,"Fresh egg pasta, raw",en:egg-pastas,9815
Œuf en poudre,"Oeuf, en poudre","Oeuf, en poudre",Egg powder,"Egg, powder",en:egg-powder,22013
Blanc d'œuf,"Oeuf, blanc (blanc d'oeuf), cru","Blanc d'oeuf, cru",Egg white,"Egg white, raw",en:egg-white,22001
Jaune d'œuf,"Oeuf, jaune (jaune d'oeuf), cru","Jaune d'oeuf, cru",Egg yolk,"Egg yolk, raw",en:egg-yolk,22002
Jaune d'œuf en poudre,"Oeuf, jaune (jaune d'oeuf), en poudre","Jaune d'oeuf, en poudre",Egg yolk powder,"Egg yolk, powder",en:egg-yolk-powder,22003
Sureau,"Sureau, baie, crue",Sureau,Elder,"Elderberry, berries, raw",en:elder,13126
Baie de sureau,"Sureau, baie, crue",Sureau,Elderberry,"Elderberry, berries, raw",en:elderberry,13126
Emmental,Emmental ou emmenthal,Emmental ou emmenthal,Emmental,"Emmental cheese, from cow's milk",en:emmental,12115
Scarole,"Scarole, crue",Scarole,Endive,Escaroles,en:endive,20090
Piment d'espelette,"Piment, cru","Piment, cru",Espelette chili pepper,"Chili pepper, raw",en:espelette-chili-pepper,20151
Miel d'eucalyptus,Miel,Miel,Eucalyptus honey,Honey,en:eucalyptus-honey,31008
Anchois commun,"Anchois commun, cru",Anchois,European anchovy,"Common anchovy, raw",en:european-anchovy,26079
Congre,"Congre, cru","Congre, cru",European conger,"Conger, raw",en:european-conger,26127
Homard européen,"Homard, bouilli/cuit à l'eau",Homard,European lobster,"Lobster, boiled/cooked in water",en:european-lobster,10009
Carrelet,"Carrelet ou plie, cru","Carrelet ou plie, cru",European plaice,"European plaice, raw",en:european-plaice,26055
Lait concentré non sucré,"Lait concentré non sucré, entier","Lait concentré non sucré, entier",Evaporated milk,"Condensed milk, without sugar, whole",en:evaporated-milk,19026
Huile d'olive extra vierge,Huile d'olive vierge extra,Huile d'olive vierge extra,Extra virgin olive oil,"Olive oil, extra virgin",en:extra-virgin-olive-oil,17270
Céréales extrudées,"Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux","Golden Grahams, Loops",Extruded cereals,"Breakfast cereals, mix of puffed or extruded cereals, fortified with vitamins and chemical elements",en:extruded-cereals,32135
Graisse,Matière grasse ou graisse végétale solide (type margarine) pour friture,Végétaline,Fat,"Solid vegetable fat (margarine type), for frying",en:fat,16080
Graisse,Graisse de canard,Graisse de canard,Fat,Duck fat,en:fat,16550
Graisse,Graisse de dinde,Graisse de dinde,Fat,Turkey fat,en:fat,16570
Graisse,Graisse de poulet,Graisse de poulet,Fat,Chicken fat,en:fat,16540
Poudre de cacao maigre,"Cacao, non sucré, poudre soluble",Cacao en poudre,Fat reduced cocoa powder,"Cocoa powder, without sugar, powder, instant",en:fat-reduced-cocoa-powder,18100
Fenouil,"Fenouil, cru","Fenouil, cru",Fennel,"Fennel, raw",en:fennel,20028
Graines de fenouil,"Fenouil, graine",Fenouil,Fennel seed,"Fennel, seed",en:fennel-seed,11066
Fenugrec,"Fenugrec, graine",Fenugrec,Fenugreek,"Fenugreek, seed",en:fenugreek,11077
Graine de fenugrec,"Fenugrec, graine",Fenugrec,Fenugreek seed,"Fenugreek, seed",en:fenugreek-seed,11077
Feta,"Fromage type feta, au lait de vache","Fromage type feta, au lait de vache",Feta,Feta-type cheese from cow's milk,en:feta,12060
Feta,Feta de brebis,Feta,Feta,"Feta cheese, from ewe's milk",en:feta,12061
Figue,"Figue, crue",Figue,Fig,"Fig, raw",en:fig,13012
Mozzarella affinée,Mozzarella au lait de vache,Mozzarella,Firmed mozzarella,"Mozzarella cheese, from cow's milk",en:firmed-mozzarella,19590
Gélatine de poisson,"Gélatine, sèche",Gélatine,Fish gelatine,"Gelatine, dried",en:fish-gelatine,11007
Sauce poisson,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée",Nuoc Mâm,Fish sauce,"Nuoc mam sauce or fish sauce, prepacked",en:fish-sauce,11194
Haricots plats coupés,"Haricot plat, cru","Haricot plat, cru",Flat green beans,"Flat bean, raw",en:flat-green-beans,20269
Lin,"Lin, graine",Lin,Flax,Flaxseed,en:flax,15034
Lin,"Lin, brun, graine",Lin,Flax,"Flaxseed, brown",en:flax,15052
Graine de lin,"Lin, graine",Lin,Flax seed,Flaxseed,en:flax-seed,15034
Graine de lin,"Lin, brun, graine",Lin,Flax seed,"Flaxseed, brown",en:flax-seed,15052
Fleur de sel,"Fleur de sel, non iodée, non fluorée",Fleur de sel,Fleur de sel,"Pure sea salt, no enrichment",en:fleur-de-sel,11082
Fleur de sel de Guérande,"Fleur de sel, non iodée, non fluorée",Fleur de sel,Fleur de sel from Guérand,"Pure sea salt, no enrichment",en:fleur-de-sel-from-guerande,11082
Miel de fleurs,Miel,Miel,Flower honey,Honey,en:flower-honey,31008
Lait de suite,"Lait 2e âge, prêt à consommer (préparation pour nourrissons)",Lait bébé 2ème âge,Follow-on milk,"Baby milk, follow on milk, ready to feed",en:follow-on-milk,19014
Fondant,"Gâteau au chocolat, cœur fondant, rayon frais",Gâteau au chocolat,Fondant,"Chocolate cake w melting centre, refrigerated",en:fondant,39234
Miel de forêt,Miel,Miel,Forest honey,Honey,en:forest-honey,31008
Jaune d'œuf de poules élevées en plein air,"Oeuf, jaune (jaune d'oeuf), cru","Jaune d'oeuf, cru",Free range chicken egg yolk,"Egg yolk, raw",en:free-range-chicken-egg-yolk,22002
Jaune d'œuf de poules élevées en liberté,"Oeuf, jaune (jaune d'oeuf), cru","Jaune d'oeuf, cru",Free range egg yolk,"Egg yolk, raw",en:free-range-egg-yolk,22002
Beurre frais,"Beurre à 82% MG, doux",Beurre,Fresh butter,"Butter, 82% fat, unsalted",en:fresh-butter,16400
Lait frais,"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",Lait,Fresh milk,"Milk, fat content unknown, UHT sterilized",en:fresh-milk,19039
Pâtes fraîches,"Pâtes fraîches, aux œufs, crues","Pâtes fraîches, aux œufs, crues",Fresh pasta,"Fresh egg pasta, raw",en:fresh-pasta,9815
Frisée,"Salade ou chicorée frisée, crue",Salade ou chicorée frisée,Frisée lettuce,"Curly endive, raw",en:frisee-lettuce,20012
Fromage blanc,"Fromage blanc nature, gourmand, 8% MG environ","Fromage blanc nature,  8% MG environ",Fromage blanc,"Fresh cream cheese, plain, creamy, around 8% fat",en:fromage-blanc,19649
Fromage blanc,"Fromage blanc nature, 3% MG environ","Fromage blanc nature, 3% MG environ",Fromage blanc,"Fresh cream cheese, plain, around 3% fat",en:fromage-blanc,19646
Fromage blanc,"Fromage blanc nature, 0% MG","Fromage blanc nature, 0% MG",Fromage blanc,"Fresh cream cheese, plain, fat free",en:fromage-blanc,19644
Fructose,Fructose,Fructose,Fructose,Fructose,en:fructose,31077
Sirop de fructose,Fructose,Fructose,Fructose syrup,Fructose,en:fructose-syrup,31077
Jus de fruits,"Jus de fruits, pur jus (aliment moyen)",Jus de fruits,Fruit juice,"Fruit juice, pure juice (average)",en:fruit-juice,2072
Jus de fruits,"Jus de fruits, à base de concentré (aliment moyen)",Jus de fruits,Fruit juice,"Fruit juice, from concentrate (average)",en:fruit-juice,2077
Jus de fruits à base de concentré,"Jus de fruits, à base de concentré (aliment moyen)",Jus de fruits,Fruit juice from concentrate,"Fruit juice, from concentrate (average)",en:fruit-juice-from-concentrate,2077
Huile de friture,"Huile pour friture, sans précision","Huile pour friture, sans précision",Frying oil,Frying oil,en:frying-oil,16128
Fucus,"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté","Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",Fucus,"Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated",en:fucus,20994
Huile de tournesol entièrement hydrogénée,Huile de tournesol,Huile de tournesol,Fully hydrogenated sunflower oil,Sunflower oil,en:fully-hydrogenated-sunflower-oil,17440
Melon galia,"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",Melon,Galia melon,"Melon, cantaloupe (ex Cavaillon or Charentais melon), pulp, raw",en:galia-melon,13026
Gibier,"Gibier à poil, cuit (aliment moyen)",Gibier,Game animal,"Game, cooked (average)",en:game-animal,14008
Gibier,"Gibier à plumes, viande, cuit (aliment moyen)",Gibier,Game animal,"Feathered game, meat, cooked (average)",en:game-animal,36603
Petits pois,"Petits pois, crus","Petits pois, crus",Garden peas,"Garden peas, raw",en:garden-peas,20072
Ail,"Ail, cru",Ail,Garlic,"Garlic, fresh",en:garlic,11000
Pâte d'ail,"Ail, cru",Ail,Garlic paste,"Garlic, fresh",en:garlic-paste,11000
Poudre d'ail,"Ail séché, poudre",Ail,Garlic powder,"Garlic, powder, dried",en:garlic-powder,11023
Purée d'ail,"Ail, cru",Ail,Garlic puree,"Garlic, fresh",en:garlic-puree,11000
Gélifiant,Gélifiant pour confitures,Gélifiant pour confitures,Gelling agent,Gelling agent for jam,en:gelling-agent,31047
Cornichon,"Cornichon, aigre-doux","Cornichon, aigre-doux",Gherkin,"Gherkin, in sweet and sour sauce",en:gherkin,11097
Cornichon,"Cornichon, au vinaigre",Cornichon,Gherkin,"Gherkin, pickled in vinegar",en:gherkin,11004
Crevette géante tigrée,"Crevette, cuite",Crevette,Giant tiger prawn,"Shrimp or prawn, cooked",en:giant-tiger-prawn,10007
Gin,Gin,Gin,Gin,Gin,en:gin,1002
Gingembre,"Gingembre, racine crue","Gingembre, racine crue",Ginger,"Ginger, raw",en:ginger,11074
Gingembre moulu,"Gingembre, poudre","Gingembre, poudre",Ginger powder,"Ginger, powder",en:ginger-powder,11006
Glucose-fructose,Fructose,Fructose,Glucose-fructose,Fructose,en:glucose-fructose,31077
Sirop de glucose-fructose,Fructose,Fructose,Glucose-fructose syrup,Fructose,en:glucose-fructose-syrup,31077
Flocons d'avoine sans gluten,"Avoine, crue",Avoine,Gluten-free oat flakes,"Oat, raw",en:gluten-free-oat-flakes,9310
Lécithine de soja sans ogm,Lécithine de soja,Lécithine de soja,GMO-free soy lecithin,Soy lecithin,en:gmo-free-soy-lecithin,42200
Fromage de chèvre,"Crottin de chèvre, au lait cru","Crottin de chèvre, au lait cru",Goat cheese,"Crottin cheese, from goat's milk, from raw milk",en:goat-cheese,12832
Fromage de chèvre,Crottin de Chavignol (fromage de chèvre),Crottin de Chavignol (fromage de chèvre),Goat cheese,"Crottin de Chavignol cheese, from goat's milk",en:goat-cheese,12834
Fromage de chèvre,Pélardon (fromage de chèvre),Pélardon,Goat cheese,"Pélardon cheese, from goat's milk",en:goat-cheese,12831
Fromage de chèvre,Fromage de chèvre bûche,Sainte Maure,Goat cheese,"Cheese, buche, from goat's milk",en:goat-cheese,12812
Fromage de chèvre,Fromage de chèvre sec,Fromage de chèvre sec,Goat cheese,"Cheese, dry, from goat's milk",en:goat-cheese,12815
Fromage de chèvre,"Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé",Cabecou,Goat cheese,"Soft-ripened cheese, from goat's milk, from pasteurised milk",en:goat-cheese,12814
Fromage de chèvre,Fromage de chèvre demi-sec,Fromage de chèvre demi-sec,Goat cheese,"Cheese, semi-dry, from goat's milk",en:goat-cheese,12810
Fromage de chèvre,Picodon (fromage de chèvre),Picodon,Goat cheese,"Picodon cheese, from goat's milk",en:goat-cheese,12836
Fromage de chèvre,Chabichou (fromage de chèvre),Chabichou,Goat cheese,"Chabichou cheese, from goat's milk",en:goat-cheese,12830
Fromage de chèvre,Fromage de chèvre à pâte molle et croûte fleurie type camembert,brique de chèvre,Goat cheese,"Soft-ripened cheese with bloomy rind, from goat's milk, Camembert-type cheese",en:goat-cheese,12820
Fromage de chèvre,"Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)",Bûchette ou crottin chèvre,Goat cheese,"Cheese, from goat's milk, from pasteurised milk",en:goat-cheese,12802
Fromage de chèvre,Pouligny Saint-Pierre (fromage de chèvre),Pouligny Saint-Pierre,Goat cheese,"Pouligny Saint-Pierre cheese, from goat's milk",en:goat-cheese,12839
Fromage de chèvre,"Fromage de chèvre frais, au lait cru (type palet ou crottin frais)",Palet ou crottin chèvre frais,Goat cheese,"Cheese, from goat's milk, fresh, from raw milk",en:goat-cheese,12804
Fromage de chèvre,"Crottin de chèvre, sans précision","Crottin de chèvre, sans précision",Goat cheese,"Crottin cheese, from goat's milk",en:goat-cheese,12833
Fromage de chèvre,"Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure)","Bûchette, crottin, Sainte-Maure chèbre",Goat cheese,"Cheese, from goat's milk",en:goat-cheese,12803
Fromage de chèvre,"Fromage de chèvre à tartiner, nature","Chavroux, Cabrette",Goat cheese,"Cheese, from goat's milk, spreadable, plain",en:goat-cheese,12819
Fromage de chèvre,"Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)",Bûchette fraîche chèvre,Goat cheese,"Cheese, from goat's milk, fresh, from pasteurised milk",en:goat-cheese,12800
Fromage de chèvre,"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",Crottin bûchette chèvre frais,Goat cheese,"Cheese, from goat's milk, fresh",en:goat-cheese,12805
Fromage de chèvre,Sainte-Maure de Touraine (fromage de chèvre),Sainte-Maure de Touraine,Goat cheese,Goat cheese from raw milk,en:goat-cheese,12807
Fromage de chèvre,"Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)","Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine",Goat cheese,"Cheese, from goat's milk, from raw milk",en:goat-cheese,12801
Fromage de chèvre,"Fromage de chèvre bûche, allégé en matière grasse","Fromage de chèvre bûche, allégé en matière grasse",Goat cheese,"Cheese, buche, from goat's milk, light",en:goat-cheese,12813
Viande de chèvre,Viande cuite (aliment moyen),Viande,Goat meat,"Meat, cooked (average)",en:goat-meat,6999
Lait de chèvre,"Lait de chèvre, entier, cru",Lait de chèvre,Goat's milk,"Goat milk, whole, raw",en:goat-s-milk,19202
Lait de chèvre,"Lait de chèvre, demi-écrémé, UHT",Lait de chèvre,Goat's milk,"Goat milk, half skimmed, UHT pasteurized",en:goat-s-milk,19201
Lait de chèvre,"Lait de chèvre, entier, UHT",Lait de chèvre,Goat's milk,"Goat milk, whole, UHT",en:goat-s-milk,19200
Pomme Golden Delicious,"Pomme Golden, pulpe et peau, crue",Pomme Golden,Golden Delicious apple,"Apple, var. Golden, pulp and skin, raw",en:golden-delicious-apple,13620
Graisse d'oie,Graisse d'oie,Graisse d'oie,Goose fat,Goose fat,en:goose-fat,16560
Gorgonzola,Gorgonzola,Gorgonzola,Gorgonzola,"Gorgonzola cheese, from cow's milk",en:gorgonzola,12524
Gouda,Gouda,Gouda,Gouda,"Gouda cheese, from cow's milk",en:gouda,12736
Grana padano,Grana Padano,Grana Padano,Grana Padano,"Grana Padano cheese, from cow's milk",en:grana-padano,12123
Fromage grana padano aop,Grana Padano,Grana Padano,Grana Padano PDO cheese,"Grana Padano cheese, from cow's milk",en:grana-padano-pdo-cheese,12123
Sucre cristal,Sucre blanc,Sucre,Granulated sugar,"Sugar, white",en:granulated-sugar,31016
Raisin,"Raisin blanc, à gros grain (type Italia ou Dattier), cru",Raisin blanc,Grape,"Grape, white, raw",en:grape,13044
Raisin,"Raisin noir, cru",Raisin noir,Grape,"Grape, red, raw",en:grape,13045
Raisin,"Raisin, cru",Raisin,Grape,"Grape, raw",en:grape,13112
Jus de raisin,"Jus de raisin, à base de concentré",Jus de raisin,Grape juice,"Grape juice, reconstituted from a concentrate",en:grape-juice,2019
Jus de raisin,"Jus de raisin, pur jus",Jus de raisin,Grape juice,"Grape juice, pure juice",en:grape-juice,2016
Huile de pépins de raisin,Huile de pépins de raisin,Huile de pépins de raisin,Grape seed oil,Grapeseed oil,en:grape-seed-oil,17350
Sucre de raisin,Sucre blanc,Sucre,Grape sugar,"Sugar, white",en:grape-sugar,31016
Pamplemousse,"Pomelo (dit Pamplemousse) rose, pulpe, cru",Pamplemousse rose,Grapefruit,"Grapefruit, red or pink, pulp, raw",en:grapefruit,13180
Pamplemousse,"Pomelo (dit Pamplemousse), pulpe, cru",Pamplemousse,Grapefruit,"Grapefruit, pulp, raw",en:grapefruit,13040
Pamplemousse,"Pomelo (dit Pamplemousse) jaune, pulpe, cru",Pamplemousse jaune,Grapefruit,"Grapefruit, yellow, pulp, raw",en:grapefruit,13179
Pamplemousse,"Pamplemousse chinois, pulpe, cru",Pamplemousse chinois,Grapefruit,"Pummelo, pulp, raw",en:grapefruit,13614
Jus de pamplemousse,"Jus de pamplemousse (pomelo), pur jus",Jus de pamplemousse,Grapefruit juice,"Grapefruit juice, pure juice",en:grapefruit-juice,2027
Jus de pamplemousse,"Jus de pamplemousse (pomélo), à base de concentré",Jus de pamplemousse,Grapefruit juice,"Grapefruit juice, reconstituted from a concentrate",en:grapefruit-juice,2015
Jus de pamplemousse,"Jus de pamplemousse (pomélo), maison",Jus de pamplemousse,Grapefruit juice,"Grapefruit juice, home-made",en:grapefruit-juice,2025
Noix de coco râpée,"Noix de coco, amande, sèche",Noix de coco râpée,Grated coconut,"Coconut, kernel, dried",en:grated-coconut,15007
Emmental râpé,Emmental ou emmenthal râpé,Emmental ou emmenthal râpé,Grated emmental cheese,"Emmental cheese, grated, from cow's milk",en:grated-emmental-cheese,12118
Noix de saint-jacques,"Coquille Saint-Jacques, noix, crue","Coquille Saint-Jacques, noix, crue",Great scallop,"Scallop, without coral, raw",en:great-scallop,10045
Noix de Saint-Jacques (Pétoncle),"Coquille Saint-Jacques, noix, crue","Coquille Saint-Jacques, noix, crue",Noble scallop,"Scallop, without coral, raw",en:noble-scallop,10045
Asperges vertes,"Asperge, verte, crue",Asperge,Green asparagus,"Asparagus, green, raw",en:green-asparagus,20279
Lentille verte,"Lentille verte, sèche","Lentille verte, sèche",Green lentils,"Lentil, green, dried",en:green-lentils,20585
Lentille verte,"Lentille verte, cuite",Lentille,Green lentils,-,en:green-lentils,20587
Olive verte,"Olive verte, en saumure","Olive verte, en saumure",Green olives,"Olives, green, in brine",en:green-olives,13033
,"Petits pois, purée","Petits pois, purée",Green peas,"Green peas, puree",en:green-peas,20284
Poivron vert,"Poivron vert, cru","Poivron vert, cru",Green pepper,"Sweet pepper, green, raw",en:green-pepper,20085
Pois cassés verts,"Pois cassé, sec","Pois cassé, sec",Green split pea,"Split pea, dried",en:green-split-pea,20515
Tomates vertes,"Tomate verte, crue",Tomate verte,Green tomato,"Tomato, green, raw",en:green-tomato,20119
Reine-Claude,"Prune Reine-Claude, crue",Prune Reine-Claude,Greengage,"Greengage plum, raw",en:greengage,13041
Café moulu,"Café, moulu","Café, moulu",Ground coffee,"Coffee, ground",en:ground-coffee,18003
Muscade-moulue,Noix de muscade,Muscade,Ground nutmeg,Nutmeg,en:ground-nutmeg,11048
Café torréfié moulu,"Café, moulu","Café, moulu",Ground roasted coffee,"Coffee, ground",en:ground-roasted-coffee,18003
Poivre blanc moulu,"Poivre blanc, poudre",Poivre blanc,Ground white pepper,"White pepper, powder",en:ground-white-pepper,11019
Gruyère,Gruyère IGP France,Gruyère IGP France,Gruyère,"Gruyere cheese, France, Protected Geographical Indication, from cow's milk",en:gruyere,12113
Gruyère,Gruyère,Gruyère,Gruyère,"Gruyere cheese, from cow's milk",en:gruyere,12114
Goyave,"Goyave, pulpe, crue",Goyave,Guava,"Guava, pulp, raw",en:guava,13083
Purée de goyave,"Goyave, pulpe, crue",Goyave,Guava puree,"Guava, pulp, raw",en:guava-puree,13083
Grondin,"Grondin, cru","Grondin, cru",Gurnard,"Red gurnard, raw",en:gurnard,26106
Grondin,"Grondin perlon, cru","Grondin perlon, cru",Gurnard,"Tub gurnard, raw",en:gurnard,26219
Églefin,"Églefin, cru","Églefin, cru",Haddock,"Haddock, raw",en:haddock,26122
Merlu,"Merlu, cru","Merlu, cru",Hake,"European hake, raw",en:hake,26044
Flétan,"Flétan de l'Atlantique ou flétan blanc, cru","Flétan de l'Atlantique ou flétan blanc, cru",Halibut,"Atlantic halibut, raw",en:halibut,26009
Flétan,"Flétan du Groënland ou flétan noir ou flétan commun, cru","Flétan du Groënland ou flétan noir ou flétan commun, cru",Halibut,"Greenland halibut, raw",en:halibut,26154
Jambon de porc,"Jambon cuit, supérieur, découenné dégraissé",Jambon,Ham,"Cooked ham, superior quality, rind less and fatless",en:ham,28906
Jambon de porc,"Jambon cuit, supérieur, découenné",Jambon,Ham,"Cooked ham, superior quality, rind less",en:ham,28902
Jambon de porc,Jambon de porc à cuire ou Jambon à rôtir/cuire au four,Jambon de porc à cuire ou Jambon à rôtir/cuire au four,Ham,"Pork ham, intended to be cooked or pork ham, intended to be roast/bake",en:ham,28700
Jambon de porc,"Jambon cuit, supérieur, avec couenne",Jambon,Ham,"Cooked ham, superior quality, with rind",en:ham,28901
Fromage à pâte dure,Fromage à pâte ferme environ 27% MG type Maasdam,Maasdam,Hard cheese,"Firm cheese, around 27% fat, Maasdam-type cheese",en:hard-cheese,12741
Fromage à pâte dure,Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG,Masdaam allégé,Hard cheese,"Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat",en:hard-cheese,12705
Fromage à pâte dure,Fromage de brebis à pâte pressée,Etorki,Hard cheese,"Semi-hard cheese, from ewe's milk",en:hard-cheese,12827
Fromage à pâte dure,"Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse",Emmental allégé,Hard cheese,"Hard cheese, emmental-type cheese, reduced fat",en:hard-cheese,12116
Fromage à pâte dure,Fromage (aliment moyen),Fromage,Hard cheese,Cheese (average),en:hard-cheese,12999
Harissa,Harissa (sauce condimentaire),Harissa (sauce condimentaire),Harissa,"Harissa (hot spicy sauce), prepacked",en:harissa,11112
Noisette,Noisette,Noisette,Hazelnut,Hazelnut,en:hazelnut,15004
Huile de noisette,Huile de noisette,Huile de noisette,Hazelnut oil,Hazelnut oil,en:hazelnut-oil,17210
Cœur de palmier,"Coeur de palmier, appertisé, égoutté",Coeur de palmier,Heart of palm,"Palm heart, canned, drained",en:heart-of-palm,20018
Herbes de provence,"Herbes de Provence, séchées",Herbes de Provence,Herbes de Provence,"Provence herbs, dried",en:herbes-de-provence,11060
Hareng,"Hareng, cru","Hareng, cru",Herring,"Atlantic herring, raw",en:herring,26011
Hareng,"Hareng maigre, cru","Hareng maigre, cru",Herring,"Atlantic herring, lean, raw",en:herring,26237
Hareng,"Hareng gras, cru","Hareng gras, cru",Herring,"Atlantic herring, oily, raw",en:herring,26238
Huile de tournesol à haute teneur en acide oléique,Huile de tournesol,Huile de tournesol,High oleic sunflower oil,Sunflower oil,en:high-oleic-sunflower-oil,17440
Riz basmati long grain de qualité supérieure,"Riz thaï ou basmati, cru","Riz thaï ou basmati, cru",High quality long grain Basmati rice,"Basmati rice, raw",en:high-quality-long-grain-basmati-rice,9119
,"Haricot de mer (Himanthalia elongata), séchée ou déshydratée",Haricot de mer,Himanthalia elongata,"Sea thong (Himanthalia elongata), dried or dehydrated",en:thongweed,20992
Miel,Miel,Miel,Honey,Honey,en:honey,31008
Miel d'acacia de france,Miel,Miel,Honey from France,Honey,en:honey-from-france,31008
Miel de Nouvelle Zélande,"Grenadier bleu ou hoki de Nouvelle-Zélande, cru","Grenadier bleu ou hoki de Nouvelle-Zélande, cru",Honey from New Zealand,"Blue grenadier, raw",en:honey-from-new-zealand,26214
Miel de Nouvelle Zélande,Miel,Miel,Honey from New Zealand,Honey,en:honey-from-new-zealand,31008
Miel d'espagne,Miel,Miel,Honey from Spain,Honey,en:honey-from-spain,31008
Miel de provence,Miel,Miel,Honey from the Provence,Honey,en:honey-from-the-provence,31008
Raifort,"Raifort, cru",Raifort,Horseradish,"Horseradish, fresh",en:horseradish,11016
Huile hydrogénée,Huile végétale (aliment moyen),Huile,Hydrogenated oil,Vegetable oil (average),en:hydrogenated-oil,17001
Huile de palme hydrogénée,"Huile de palme, sans précision","Huile de palme, sans précision",Hydrogenated palm oil,Palm oil,en:hydrogenated-palm-oil,16129
Huile de soja hydrogénée,Huile de soja,Huile de soja,Hydrogenated soy oil,Soy oil,en:hydrogenated-soy-oil,17420
Glace,"Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen)",Glace,Ice,"Ice cream or sorbet or ice pop, flavoured (average)",en:ice,39500
Glace,"Glace ou crème glacée, en bac",Glace,Ice,"Ice cream, in box",en:ice,39515
Glace,"Glace ou crème glacée, gourmande, en bac",Glace,Ice,"Ice cream, luxury, in box",en:ice,39520
Glace,"Glace ou crème glacée, gourmande, en pot","Glace, pot",Ice,"Ice cream, luxury, in cup",en:ice,39521
Glace,"Glace ou crème glacée, bac ou pot (aliment moyen)",Glace,Ice,"Ice cream, box or cup (average)",en:ice,39527
Glace,Glace à l'eau,Glace à l'eau,Ice,Ice lolly,en:ice,39526
Glace,"Glace ou crème glacée, pot individuel","Glace, pot individuel",Ice,"Ice cream, in individual cup",en:ice,39523
Glace,"Glace ou crème glacée, bac ou pot (aliment moyen)",Glace,Ice cream,"Ice cream, box or cup (average)",en:ice-cream,39527
Glace,Glace à l'eau,Glace à l'eau,Ice cream,Ice lolly,en:ice-cream,39526
Laitue iceberg,"Laitue iceberg, crue",Iceberg,Iceberg lettuce,"Iceberg lettuce, raw",en:iceberg-lettuce,20200
Sucre glace,Sucre blanc,Sucre,Icing sugar,"Sugar, white",en:icing-sugar,31016
Café soluble,"Café, poudre soluble","Café, poudre soluble",Instant coffee,"Coffee, powder, instant",en:instant-coffee,18005
Sucre inverti,Sucre blanc,Sucre,Invert sugar,"Sugar, white",en:invert-sugar,31016
Sirop de sucre inverti,Sucre blanc,Sucre,Invert sugar syrup,"Sugar, white",en:invert-sugar-syrup,31016
Sel iodé,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Sel iodé, non fluoré",Iodised salt,"Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",en:iodised-salt,11058
Sel iodé,"Sel blanc alimentaire, iodé, fluoré à 25 mg /100g (marin, ignigène ou gemme)","Sel iodé, fluoré",Iodised salt,"Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",en:iodised-salt,11096
Sel iodé,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Sel non iodé, non fluoré",Iodised salt,"Salt, white, for human consumption (sea, igneous or rock), no enrichment",en:iodised-salt,11017
Whisky irlandais,Whisky,Whisky,Irish whiskey,Whisky,en:irish-whiskey,1005
Riz moyen à grains noirs complet étuvé,"Riz complet, cuit, non salé",Riz complet,Italian Black Parboiled Brown Rice,"Rice, brown, cooked, unsalted",en:italian-black-parboiled-brown-rice,9103
